iter	Passed	Remaining
0	118	118838
1	120	60206
2	122	40623
3	124	31104
4	126	25227
5	128	21231
6	129	18427
7	132	16371
8	133	14682
9	134	13344
10	136	12265
11	138	11370
12	140	10689
13	143	10076
14	144	9514
15	146	9028
16	148	8592
17	151	8290
18	153	7928
19	156	7660
20	157	7356
21	159	7086
22	160	6825
23	161	6579
24	163	6359
25	164	6155
26	166	5994
27	168	5858
28	172	5766
29	173	5623
30	175	5487
31	178	5412
32	181	5317
33	183	5225
34	185	5128
35	187	5025
36	189	4927
37	191	4853
38	193	4763
39	194	4674
40	196	4586
41	197	4512
42	199	4434
43	201	4369
44	202	4299
45	204	4234
46	207	4199
47	208	4131
48	209	4075
49	212	4028
50	213	3978
51	215	3923
52	216	3870
53	218	3830
54	220	3783
55	221	3734
56	223	3702
57	225	3662
58	227	3620
59	228	3578
60	230	3553
61	233	3530
62	234	3493
63	236	3459
64	238	3437
65	240	3407
66	242	3372
67	243	3339
68	245	3307
69	246	3274
70	247	3240
71	248	3207
72	250	3178
73	251	3150
74	253	3125
75	254	3097
76	256	3069
77	258	3059
78	261	3047
79	262	3019
80	264	2996
81	265	2970
82	265	2938
83	267	2919
84	269	2897
85	270	2874
86	272	2855
87	273	2833
88	274	2811
89	276	2791
90	277	2769
91	278	2752
92	280	2736
93	282	2723
94	283	2703
95	285	2688
96	288	2684
97	289	2665
98	290	2645
99	292	2632
100	293	2614
101	295	2598
102	299	2604
103	301	2594
104	302	2578
105	303	2562
106	305	2546
107	306	2534
108	308	2518
109	309	2502
110	310	2489
111	312	2480
112	316	2487
113	318	2474
114	320	2462
115	321	2448
116	322	2433
117	323	2420
118	326	2414
119	328	2407
120	329	2395
121	330	2380
122	331	2367
123	333	2354
124	334	2342
125	336	2333
126	337	2321
127	339	2309
128	340	2300
129	344	2303
130	346	2299
131	347	2286
132	348	2273
133	350	2263
134	351	2252
135	352	2242
136	356	2242
137	358	2236
138	359	2226
139	360	2217
140	362	2209
141	363	2198
142	365	2189
143	367	2181
144	369	2180
145	374	2191
146	375	2180
147	377	2172
148	378	2164
149	380	2155
150	381	2146
151	383	2137
152	385	2135
153	387	2128
154	388	2118
155	389	2109
156	391	2101
157	392	2093
158	394	2085
159	395	2077
160	396	2067
161	400	2072
162	401	2064
163	403	2057
164	405	2051
165	407	2046
166	408	2039
167	410	2032
168	411	2025
169	413	2020
170	415	2015
171	417	2008
172	418	2000
173	419	1992
174	421	1984
175	422	1978
176	423	1970
177	425	1964
178	430	1973
179	432	1968
180	433	1963
181	435	1957
182	436	1950
183	438	1944
184	439	1936
185	459	2011
186	461	2005
187	462	1999
188	463	1990
189	465	1983
190	466	1976
191	467	1969
192	469	1964
193	473	1966
194	475	1963
195	477	1957
196	478	1950
197	480	1944
198	481	1937
199	482	1930
200	483	1923
201	485	1917
202	487	1912
203	490	1912
204	491	1907
205	493	1903
206	495	1896
207	496	1890
208	497	1883
209	501	1884
210	503	1881
211	504	1876
212	506	1872
213	508	1868
214	510	1862
215	511	1857
216	513	1852
217	514	1846
218	517	1844
219	519	1841
220	520	1836
221	522	1830
222	523	1824
223	526	1823
224	528	1819
225	529	1813
226	532	1812
227	534	1808
228	535	1803
229	537	1798
230	538	1792
231	539	1787
232	541	1782
233	542	1777
234	544	1772
235	547	1771
236	548	1766
237	550	1762
238	552	1757
239	554	1756
240	557	1755
241	558	1749
242	563	1754
243	564	1749
244	566	1744
245	567	1740
246	569	1735
247	570	1729
248	571	1724
249	573	1719
250	575	1717
251	577	1714
252	579	1710
253	581	1707
254	584	1706
255	585	1702
256	586	1696
257	588	1692
258	590	1690
259	592	1686
260	593	1681
261	595	1677
262	596	1672
263	597	1666
264	599	1662
265	600	1657
266	601	1652
267	603	1649
268	605	1645
269	607	1641
270	609	1639
271	612	1638
272	613	1633
273	614	1628
274	616	1624
275	618	1621
276	619	1617
277	621	1614
278	624	1613
279	625	1609
280	627	1606
281	629	1602
282	631	1598
283	633	1597
284	635	1593
285	638	1595
286	640	1591
287	641	1586
288	643	1582
289	645	1579
290	647	1577
291	649	1575
292	651	1571
293	652	1567
294	653	1562
295	655	1558
296	656	1555
297	658	1551
298	660	1547
299	663	1547
300	664	1543
301	667	1543
302	671	1544
303	672	1540
304	674	1536
305	677	1535
306	678	1532
307	680	1528
308	681	1524
309	683	1521
310	684	1517
311	686	1513
312	687	1509
313	689	1506
314	691	1504
315	693	1501
316	698	1504
317	700	1501
318	701	1498
319	703	1494
320	707	1496
321	714	1504
322	716	1501
323	717	1497
324	719	1494
325	723	1494
326	726	1495
327	729	1494
328	731	1491
329	733	1488
330	735	1486
331	737	1483
332	738	1480
333	740	1477
334	742	1473
335	744	1470
336	746	1467
337	748	1465
338	751	1466
339	754	1464
340	755	1460
341	757	1457
342	759	1453
343	760	1451
344	763	1449
345	766	1448
346	768	1445
347	769	1442
348	771	1439
349	773	1435
350	774	1431
351	779	1435
352	782	1433
353	784	1431
354	786	1428
355	788	1425
356	789	1422
357	791	1418
358	794	1417
359	796	1416
360	798	1413
361	800	1410
362	801	1407
363	803	1403
364	804	1400
365	806	1397
366	808	1394
367	810	1391
368	812	1388
369	813	1385
370	817	1385
371	819	1383
372	823	1384
373	825	1380
374	826	1377
375	828	1375
376	830	1372
377	831	1368
378	833	1366
379	835	1363
380	837	1360
381	839	1357
382	840	1354
383	842	1351
384	843	1348
385	845	1344
386	849	1345
387	852	1344
388	854	1341
389	856	1338
390	857	1335
391	859	1332
392	860	1328
393	861	1325
394	863	1323
395	865	1320
396	868	1318
397	869	1315
398	871	1313
399	873	1310
400	877	1310
401	878	1307
402	881	1305
403	882	1302
404	885	1301
405	888	1300
406	890	1297
407	892	1294
408	894	1292
409	898	1293
410	900	1290
411	906	1294
412	908	1291
413	913	1292
414	915	1290
415	917	1288
416	919	1286
417	921	1283
418	924	1282
419	926	1279
420	928	1277
421	930	1275
422	933	1273
423	936	1272
424	940	1272
425	943	1270
426	944	1268
427	947	1265
428	949	1263
429	952	1262
430	956	1262
431	964	1268
432	966	1265
433	967	1262
434	970	1260
435	973	1258
436	975	1256
437	976	1253
438	979	1251
439	980	1248
440	982	1244
441	989	1249
442	993	1248
443	995	1246
444	998	1245
445	1002	1245
446	1004	1242
447	1006	1240
448	1008	1237
449	1010	1235
450	1013	1234
451	1018	1234
452	1021	1233
453	1023	1230
454	1025	1227
455	1028	1227
456	1033	1227
457	1035	1225
458	1037	1223
459	1039	1220
460	1043	1220
461	1051	1224
462	1053	1221
463	1055	1219
464	1061	1221
465	1063	1219
466	1065	1216
467	1067	1213
468	1069	1210
469	1072	1209
470	1075	1207
471	1079	1207
472	1080	1204
473	1082	1200
474	1083	1197
475	1085	1194
476	1087	1192
477	1089	1189
478	1091	1186
479	1093	1184
480	1095	1181
481	1097	1179
482	1098	1176
483	1103	1176
484	1107	1175
485	1109	1173
486	1112	1171
487	1114	1168
488	1118	1168
489	1120	1166
490	1122	1163
491	1124	1160
492	1126	1158
493	1128	1156
494	1131	1153
495	1133	1151
496	1135	1149
497	1137	1146
498	1139	1143
499	1141	1141
500	1149	1145
501	1151	1142
502	1153	1139
503	1155	1136
504	1156	1133
505	1158	1130
506	1160	1128
507	1162	1126
508	1164	1123
509	1166	1121
510	1168	1118
511	1169	1115
512	1171	1112
513	1175	1111
514	1177	1109
515	1180	1106
516	1182	1104
517	1184	1101
518	1185	1099
519	1189	1098
520	1191	1095
521	1193	1092
522	1195	1090
523	1197	1088
524	1200	1086
525	1208	1088
526	1210	1086
527	1214	1085
528	1216	1083
529	1218	1080
530	1221	1078
531	1222	1075
532	1224	1072
533	1225	1069
534	1227	1066
535	1230	1065
536	1232	1063
537	1235	1060
538	1236	1057
539	1238	1054
540	1239	1051
541	1241	1049
542	1242	1046
543	1244	1043
544	1245	1040
545	1248	1037
546	1249	1035
547	1252	1033
548	1254	1030
549	1258	1029
550	1259	1026
551	1264	1026
552	1268	1025
553	1270	1022
554	1272	1019
555	1273	1016
556	1275	1014
557	1278	1012
558	1279	1009
559	1281	1007
560	1284	1004
561	1287	1003
562	1289	1000
563	1292	998
564	1293	996
565	1295	993
566	1297	990
567	1299	988
568	1301	985
569	1304	983
570	1306	981
571	1308	979
572	1310	976
573	1312	974
574	1315	972
575	1317	969
576	1321	968
577	1323	966
578	1325	963
579	1326	960
580	1328	957
581	1330	955
582	1332	952
583	1334	950
584	1336	948
585	1338	945
586	1341	943
587	1343	941
588	1344	938
589	1346	935
590	1348	932
591	1350	930
592	1352	927
593	1353	925
594	1355	922
595	1357	919
596	1359	917
597	1361	915
598	1364	913
599	1366	911
600	1370	909
601	1372	907
602	1374	904
603	1375	902
604	1377	899
605	1380	897
606	1382	895
607	1384	892
608	1385	889
609	1387	887
610	1389	884
611	1390	881
612	1392	879
613	1394	876
614	1398	875
615	1400	873
616	1402	870
617	1403	867
618	1405	865
619	1408	863
620	1411	861
621	1413	859
622	1426	863
623	1428	861
624	1430	858
625	1431	855
626	1433	853
627	1435	850
628	1440	849
629	1443	847
630	1447	846
631	1449	843
632	1450	841
633	1463	845
634	1465	842
635	1468	840
636	1471	838
637	1473	836
638	1475	833
639	1477	830
640	1479	828
641	1480	825
642	1485	824
643	1487	822
644	1491	820
645	1493	818
646	1495	816
647	1502	815
648	1503	813
649	1506	811
650	1507	808
651	1509	805
652	1511	803
653	1514	801
654	1516	798
655	1550	813
656	1553	810
657	1559	810
658	1561	807
659	1564	805
660	1566	803
661	1568	800
662	1570	798
663	1572	795
664	1575	793
665	1577	791
666	1579	788
667	1581	785
668	1583	783
669	1586	781
670	1589	779
671	1591	776
672	1593	774
673	1595	771
674	1596	768
675	1598	766
676	1600	763
677	1601	760
678	1604	758
679	1606	755
680	1608	753
681	1611	751
682	1614	749
683	1616	746
684	1620	745
685	1622	742
686	1625	740
687	1626	737
688	1628	735
689	1631	732
690	1633	730
691	1635	727
692	1636	725
693	1639	722
694	1642	720
695	1644	718
696	1646	715
697	1648	713
698	1649	710
699	1651	707
700	1653	705
701	1654	702
702	1656	699
703	1657	696
704	1659	694
705	1661	691
706	1663	689
707	1665	686
708	1668	684
709	1670	682
710	1671	679
711	1673	676
712	1675	674
713	1677	672
714	1679	669
715	1681	667
716	1683	664
717	1685	661
718	1686	659
719	1688	656
720	1690	654
721	1692	651
722	1694	649
723	1696	646
724	1698	644
725	1701	642
726	1702	639
727	1705	637
728	1707	634
729	1709	632
730	1710	629
731	1712	626
732	1714	624
733	1715	621
734	1717	619
735	1719	616
736	1721	614
737	1724	612
738	1726	609
739	1730	607
740	1733	606
741	1742	605
742	1744	603
743	1745	600
744	1750	599
745	1756	597
746	1758	595
747	1760	592
748	1762	590
749	1764	588
750	1767	585
751	1768	583
752	1770	580
753	1772	578
754	1774	575
755	1777	573
756	1780	571
757	1782	569
758	1784	566
759	1786	564
760	1788	561
761	1790	559
762	1792	556
763	1794	554
764	1796	551
765	1798	549
766	1800	546
767	1803	544
768	1810	543
769	1812	541
770	1813	538
771	1815	536
772	1817	533
773	1820	531
774	1822	529
775	1824	526
776	1826	524
777	1828	521
778	1833	520
779	1838	518
780	1840	516
781	1842	513
782	1844	511
783	1846	508
784	1850	506
785	1851	504
786	1852	501
787	1854	499
788	1856	496
789	1858	493
790	1859	491
791	1861	488
792	1864	486
793	1866	484
794	1868	481
795	1870	479
796	1872	476
797	1873	474
798	1877	472
799	1879	469
800	1880	467
801	1882	464
802	1883	462
803	1906	464
804	1908	462
805	1910	459
806	1911	457
807	1912	454
808	1916	452
809	1918	449
810	1919	447
811	1920	444
812	1922	442
813	1926	440
814	1929	438
815	1933	435
816	1935	433
817	1936	430
818	1939	428
819	1940	426
820	1942	423
821	1944	421
822	1946	418
823	1947	416
824	1949	413
825	1951	411
826	1952	408
827	1955	406
828	1957	403
829	1959	401
830	1960	398
831	1963	396
832	1966	394
833	1969	391
834	1971	389
835	1981	388
836	1998	389
837	2000	386
838	2003	384
839	2006	382
840	2010	380
841	2016	378
842	2017	375
843	2019	373
844	2022	370
845	2024	368
846	2026	366
847	2029	363
848	2031	361
849	2032	358
850	2034	356
851	2036	353
852	2038	351
853	2040	348
854	2043	346
855	2044	343
856	2046	341
857	2048	339
858	2052	336
859	2055	334
860	2057	332
861	2058	329
862	2060	327
863	2061	324
864	2066	322
865	2070	320
866	2072	317
867	2074	315
868	2076	313
869	2079	310
870	2082	308
871	2084	305
872	2086	303
873	2090	301
874	2091	298
875	2097	296
876	2099	294
877	2100	291
878	2102	289
879	2104	286
880	2106	284
881	2109	282
882	2110	279
883	2112	277
884	2115	274
885	2116	272
886	2118	269
887	2121	267
888	2124	265
889	2127	262
890	2131	260
891	2134	258
892	2136	256
893	2138	253
894	2140	251
895	2142	248
896	2144	246
897	2145	243
898	2147	241
899	2148	238
900	2155	236
901	2157	234
902	2159	231
903	2161	229
904	2163	227
905	2166	224
906	2168	222
907	2171	220
908	2173	217
909	2174	215
910	2176	212
911	2177	210
912	2179	207
913	2181	205
914	2183	202
915	2185	200
916	2187	197
917	2189	195
918	2190	193
919	2193	190
920	2196	188
921	2197	185
922	2199	183
923	2200	181
924	2202	178
925	2204	176
926	2205	173
927	2209	171
928	2211	169
929	2213	166
930	2215	164
931	2217	161
932	2218	159
933	2222	157
934	2224	154
935	2226	152
936	2227	149
937	2230	147
938	2231	144
939	2232	142
940	2234	140
941	2236	137
942	2239	135
943	2241	132
944	2244	130
945	2246	128
946	2249	125
947	2252	123
948	2255	121
949	2256	118
950	2258	116
951	2262	114
952	2264	111
953	2266	109
954	2268	106
955	2270	104
956	2272	102
957	2273	99
958	2275	97
959	2278	94
960	2283	92
961	2284	90
962	2287	87
963	2288	85
964	2290	83
965	2292	80
966	2294	78
967	2298	75
968	2300	73
969	2301	71
970	2303	68
971	2306	66
972	2308	64
973	2311	61
974	2312	59
975	2314	56
976	2316	54
977	2317	52
978	2319	49
979	2321	47
980	2322	44
981	2324	42
982	2327	40
983	2329	37
984	2330	35
985	2334	33
986	2336	30
987	2337	28
988	2339	26
989	2342	23
990	2344	21
991	2347	18
992	2349	16
993	2351	14
994	2355	11
995	2357	9
996	2364	7
997	2365	4
998	2367	2
999	2369	0
