iter	Passed	Remaining
0	1	143
1	2	121
2	3	111
3	4	105
4	5	103
5	6	100
6	7	97
7	8	95
8	9	94
9	10	92
10	11	91
11	12	89
12	13	88
13	15	93
14	16	94
15	17	92
16	18	91
17	19	90
18	20	89
19	21	87
20	22	86
21	23	84
22	24	83
23	25	81
24	26	79
25	27	78
26	28	77
27	30	77
28	31	77
29	33	77
30	34	75
31	35	74
32	36	73
33	37	72
34	38	71
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	45	65
41	45	63
42	47	62
43	47	61
44	49	59
45	50	58
46	51	57
47	52	56
48	52	55
49	53	53
50	54	52
51	55	51
52	56	50
53	57	48
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	65	41
61	66	40
62	66	39
63	68	38
64	69	37
65	70	36
66	71	35
67	72	33
68	73	32
69	74	32
70	76	31
71	77	30
72	78	29
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	14
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	104	3
97	105	2
98	106	1
99	107	0
